((6, 8), (5, 8), 1)
((6, 8), (7, 8), 1)
((6, 8), (6, 7), 1)
((6, 8), (6, 9), 1)
((-1, -1), (6, 8), 0)
((6, 8), (5, 8), 1)
((6, 8), (7, 8), 1)
((6, 8), (6, 7), 1)
((6, 8), (6, 9), 1)
((-1, -1), (7, 8), 0)
((7, 8), (6, 8), 1)
((7, 8), (8, 8), 1)
((7, 8), (7, 7), 1)
((7, 8), (7, 9), 1)
((-1, -1), (7, 8), 0)
((7, 8), (6, 8), 1)
((7, 8), (8, 8), 1)
((7, 8), (7, 7), 1)
((7, 8), (7, 9), 1)
((-1, -1), (7, 8), 0)
((7, 8), (6, 8), 1)
((7, 8), (8, 8), 1)
((7, 8), (7, 7), 1)
((7, 8), (7, 9), 1)
((-1, -1), (7, 8), 0)
((7, 8), (6, 8), 1)
((7, 8), (8, 8), 1)
((7, 8), (7, 7), 1)
((7, 8), (7, 9), 1)
((-1, -1), (7, 8), 0)
((7, 8), (6, 8), 1)
((7, 8), (8, 8), 1)
((7, 8), (7, 7), 1)
((7, 8), (7, 9), 1)
((-1, -1), (2, 8), 0)
((2, 8), (1, 8), 1)
((2, 8), (3, 8), 1)
((2, 8), (2, 7), 1)
((2, 8), (2, 9), 1)
((-1, -1), (2, 8), 0)
((2, 8), (1, 8), 1)
((2, 8), (3, 8), 1)
((2, 8), (2, 7), 1)
((2, 8), (2, 9), 1)
((-1, -1), (2, 8), 0)
((2, 8), (1, 8), 1)
((2, 8), (3, 8), 1)
((2, 8), (2, 7), 1)
((2, 8), (2, 9), 1)
((-1, -1), (2, 8), 0)
((2, 8), (1, 8), 1)
((2, 8), (3, 8), 1)
((2, 8), (2, 7), 1)
((2, 8), (2, 9), 1)
((-1, -1), (2, 8), 0)
((2, 8), (1, 8), 1)
((2, 8), (3, 8), 1)
((2, 8), (2, 7), 1)
((2, 8), (2, 9), 1)
((-1, -1), (6, 4), 0)
((6, 4), (5, 4), 1)
((-1, -1), (6, 4), 0)
((6, 4), (5, 4), 1)
((-1, -1), (6, 4), 0)
((6, 4), (5, 4), 1)
((-1, -1), (6, 4), 0)
((6, 4), (5, 4), 1)
((-1, -1), (6, 4), 0)
((6, 4), (5, 4), 1)
((-1, -1), (1, 1), 0)
((1, 1), (0, 1), 1)
((-1, -1), (1, 1), 0)
((1, 1), (0, 1), 1)
((-1, -1), (1, 1), 0)
((1, 1), (0, 1), 1)
((-1, -1), (1, 1), 0)
((1, 1), (0, 1), 1)
((-1, -1), (1, 1), 0)
((1, 1), (0, 1), 1)
((-1, -1), (3, 3), 0)
((3, 3), (2, 3), 1)
((3, 3), (4, 3), 1)
((3, 3), (3, 2), 1)
((3, 3), (3, 4), 1)
((3, 3), (2, 2), 1)
((3, 3), (4, 4), 1)
((-1, -1), (3, 3), 0)
((3, 3), (2, 3), 1)
((3, 3), (4, 3), 1)
((3, 3), (3, 2), 1)
((3, 3), (3, 4), 1)
((3, 3), (2, 2), 1)
((3, 3), (4, 4), 1)
((-1, -1), (3, 3), 0)
((3, 3), (2, 3), 1)
((3, 3), (4, 3), 1)
((3, 3), (3, 2), 1)
((3, 3), (3, 4), 1)
((3, 3), (2, 2), 1)
((3, 3), (4, 4), 1)
((-1, -1), (3, 3), 0)
((3, 3), (2, 3), 1)
((3, 3), (4, 3), 1)
((3, 3), (3, 2), 1)
((3, 3), (3, 4), 1)
((3, 3), (2, 2), 1)
((3, 3), (4, 4), 1)
((-1, -1), (3, 3), 0)
((3, 3), (2, 3), 1)
((3, 3), (4, 3), 1)
((3, 3), (3, 2), 1)
((3, 3), (3, 4), 1)
((3, 3), (2, 2), 1)
((3, 3), (4, 4), 1)
((-1, -1), (4, 0), 0)
((4, 0), (3, 0), 1)
((4, 0), (5, 0), 1)
((4, 0), (4, 1), 1)
((4, 0), (5, 1), 1)
((4, 0), (3, 1), 1)
((3, 0), (2, 0), 2)
((5, 0), (6, 0), 2)
((4, 1), (4, 2), 2)
((5, 1), (6, 2), 2)
((3, 1), (2, 2), 2)
((2, 0), (1, 0), 3)
((6, 0), (7, 0), 3)
((4, 2), (4, 3), 3)
((6, 2), (7, 3), 3)
((2, 2), (1, 3), 3)
((1, 0), (0, 0), 4)
((-1, -1), (4, 0), 0)
((4, 0), (3, 0), 1)
((4, 0), (5, 0), 1)
((4, 0), (4, 1), 1)
((4, 0), (5, 1), 1)
((4, 0), (3, 1), 1)
((3, 0), (2, 0), 2)
((5, 0), (6, 0), 2)
((4, 1), (4, 2), 2)
((5, 1), (6, 2), 2)
((3, 1), (2, 2), 2)
((2, 0), (1, 0), 3)
((6, 0), (7, 0), 3)
((4, 2), (4, 3), 3)
((6, 2), (7, 3), 3)
((2, 2), (1, 3), 3)
((1, 0), (0, 0), 4)
((-1, -1), (4, 0), 0)
((4, 0), (3, 0), 1)
((4, 0), (5, 0), 1)
((4, 0), (4, 1), 1)
((4, 0), (5, 1), 1)
((4, 0), (3, 1), 1)
((3, 0), (2, 0), 2)
((5, 0), (6, 0), 2)
((4, 1), (4, 2), 2)
((5, 1), (6, 2), 2)
((3, 1), (2, 2), 2)
((2, 0), (1, 0), 3)
((6, 0), (7, 0), 3)
((4, 2), (4, 3), 3)
((6, 2), (7, 3), 3)
((2, 2), (1, 3), 3)
((1, 0), (0, 0), 4)
((-1, -1), (4, 0), 0)
((4, 0), (3, 0), 1)
((4, 0), (5, 0), 1)
((4, 0), (4, 1), 1)
((4, 0), (5, 1), 1)
((4, 0), (3, 1), 1)
((3, 0), (2, 0), 2)
((5, 0), (6, 0), 2)
((4, 1), (4, 2), 2)
((5, 1), (6, 2), 2)
((3, 1), (2, 2), 2)
((2, 0), (1, 0), 3)
((6, 0), (7, 0), 3)
((4, 2), (4, 3), 3)
((6, 2), (7, 3), 3)
((2, 2), (1, 3), 3)
((1, 0), (0, 0), 4)
((-1, -1), (4, 0), 0)
((4, 0), (3, 0), 1)
((4, 0), (5, 0), 1)
((4, 0), (4, 1), 1)
((4, 0), (5, 1), 1)
((4, 0), (3, 1), 1)
((3, 0), (2, 0), 2)
((5, 0), (6, 0), 2)
((4, 1), (4, 2), 2)
((5, 1), (6, 2), 2)
((3, 1), (2, 2), 2)
((2, 0), (1, 0), 3)
((6, 0), (7, 0), 3)
((4, 2), (4, 3), 3)
((6, 2), (7, 3), 3)
((2, 2), (1, 3), 3)
((1, 0), (0, 0), 4)
((-1, -1), (6, 2), 0)
((6, 2), (5, 2), 1)
((6, 2), (7, 2), 1)
((6, 2), (6, 1), 1)
((6, 2), (6, 3), 1)
((6, 2), (5, 1), 1)
((6, 2), (7, 3), 1)
((6, 2), (5, 3), 1)
((6, 2), (7, 1), 1)
((5, 2), (4, 2), 2)
((7, 2), (8, 2), 2)
((6, 1), (6, 0), 2)
((-1, -1), (6, 2), 0)
((6, 2), (5, 2), 1)
((6, 2), (7, 2), 1)
((6, 2), (6, 1), 1)
((6, 2), (6, 3), 1)
((6, 2), (5, 1), 1)
((6, 2), (7, 3), 1)
((6, 2), (5, 3), 1)
((6, 2), (7, 1), 1)
((5, 2), (4, 2), 2)
((7, 2), (8, 2), 2)
((6, 1), (6, 0), 2)
((-1, -1), (6, 2), 0)
((6, 2), (5, 2), 1)
((6, 2), (7, 2), 1)
((6, 2), (6, 1), 1)
((6, 2), (6, 3), 1)
((6, 2), (5, 1), 1)
((6, 2), (7, 3), 1)
((6, 2), (5, 3), 1)
((6, 2), (7, 1), 1)
((5, 2), (4, 2), 2)
((7, 2), (8, 2), 2)
((6, 1), (6, 0), 2)
((-1, -1), (6, 2), 0)
((6, 2), (5, 2), 1)
((6, 2), (7, 2), 1)
((6, 2), (6, 1), 1)
((6, 2), (6, 3), 1)
((6, 2), (5, 1), 1)
((6, 2), (7, 3), 1)
((6, 2), (5, 3), 1)
((6, 2), (7, 1), 1)
((5, 2), (4, 2), 2)
((7, 2), (8, 2), 2)
((6, 1), (6, 0), 2)
((-1, -1), (6, 2), 0)
((6, 2), (5, 2), 1)
((6, 2), (7, 2), 1)
((6, 2), (6, 1), 1)
((6, 2), (6, 3), 1)
((6, 2), (5, 1), 1)
((6, 2), (7, 3), 1)
((6, 2), (5, 3), 1)
((6, 2), (7, 1), 1)
((5, 2), (4, 2), 2)
((7, 2), (8, 2), 2)
((6, 1), (6, 0), 2)
agent id 1

Agent 1 has chosen the following move:
Agent #1 played '5h' to place a marker on space (4, 4).


The new agent state is:
Agent #1, playing for team B, is holding cards ['9c', '4h', '9h', '5c', '9c', 'ac'].

--------------------------------------------------------------------
in the getPolicy
finding best draft
In get Qvalue and feature name is draft
in get feature
in draft feature
plr_state is: <Sequence.sequence_model.SequenceState.AgentState object at 0x7ff0c7b8c190>
position is  [(0, 2), (8, 5)]
try to call checkSeq
calling checkSeq success and info is: (0, 5)
try to call checkSeq
calling checkSeq success and info is: (0, 5)
in play feature
opp_plr: <Sequence.sequence_model.SequenceState.AgentState object at 0x7ff0c7bba610>
[OtherError] error occured when calling SelectAction()!
Selecting random action instead!
Agent 2 Time Out, 2 out of 3.
agent id 2

Agent 2 has chosen the following move:
Agent #2 played '2h' to place a marker on space (8, 7).


The new agent state is:
Agent #2, playing for team R, is holding cards ['as', 'qh', 'ad', '7c', '8d', '8d'].

--------------------------------------------------------------------
((-1, -1), (6, 6), 0)
((6, 6), (5, 6), 1)
((6, 6), (7, 6), 1)
((6, 6), (6, 5), 1)
((6, 6), (6, 7), 1)
((6, 6), (5, 5), 1)
((-1, -1), (6, 6), 0)
((6, 6), (5, 6), 1)
((6, 6), (7, 6), 1)
((6, 6), (6, 5), 1)
((6, 6), (6, 7), 1)
((6, 6), (5, 5), 1)
((-1, -1), (6, 6), 0)
((6, 6), (5, 6), 1)
((6, 6), (7, 6), 1)
((6, 6), (6, 5), 1)
((6, 6), (6, 7), 1)
((6, 6), (5, 5), 1)
((-1, -1), (6, 6), 0)
((6, 6), (5, 6), 1)
((6, 6), (7, 6), 1)
((6, 6), (6, 5), 1)
((6, 6), (6, 7), 1)
((6, 6), (5, 5), 1)
((-1, -1), (6, 6), 0)
((6, 6), (5, 6), 1)
((6, 6), (7, 6), 1)
((6, 6), (6, 5), 1)
((6, 6), (6, 7), 1)
((6, 6), (5, 5), 1)
((-1, -1), (8, 6), 0)
((8, 6), (7, 6), 1)
((8, 6), (9, 6), 1)
((-1, -1), (8, 6), 0)
((8, 6), (7, 6), 1)
((8, 6), (9, 6), 1)
((-1, -1), (8, 6), 0)
((8, 6), (7, 6), 1)
((8, 6), (9, 6), 1)
((-1, -1), (8, 6), 0)
((8, 6), (7, 6), 1)
((8, 6), (9, 6), 1)
((-1, -1), (8, 6), 0)
((8, 6), (7, 6), 1)
((8, 6), (9, 6), 1)
((-1, -1), (8, 7), 0)
((8, 7), (7, 7), 1)
((8, 7), (9, 7), 1)
((-1, -1), (8, 7), 0)
((8, 7), (7, 7), 1)
((8, 7), (9, 7), 1)
((-1, -1), (8, 7), 0)
((8, 7), (7, 7), 1)
((8, 7), (9, 7), 1)
((-1, -1), (8, 7), 0)
((8, 7), (7, 7), 1)
((8, 7), (9, 7), 1)
((-1, -1), (8, 7), 0)
((8, 7), (7, 7), 1)
((8, 7), (9, 7), 1)
((-1, -1), (9, 3), 0)
((9, 3), (8, 3), 1)
((9, 3), (9, 2), 1)
((9, 3), (9, 4), 1)
((9, 3), (8, 2), 1)
((9, 3), (8, 4), 1)
((8, 3), (7, 3), 2)
((9, 2), (9, 1), 2)
((9, 4), (9, 5), 2)
((8, 2), (7, 1), 2)
((8, 4), (7, 5), 2)
((7, 3), (6, 3), 3)
((9, 1), (9, 0), 3)
((-1, -1), (9, 3), 0)
((9, 3), (8, 3), 1)
((9, 3), (9, 2), 1)
((9, 3), (9, 4), 1)
((9, 3), (8, 2), 1)
((9, 3), (8, 4), 1)
((8, 3), (7, 3), 2)
((9, 2), (9, 1), 2)
((9, 4), (9, 5), 2)
((8, 2), (7, 1), 2)
((8, 4), (7, 5), 2)
((7, 3), (6, 3), 3)
((9, 1), (9, 0), 3)
((-1, -1), (9, 3), 0)
((9, 3), (8, 3), 1)
((9, 3), (9, 2), 1)
((9, 3), (9, 4), 1)
((9, 3), (8, 2), 1)
((9, 3), (8, 4), 1)
((8, 3), (7, 3), 2)
((9, 2), (9, 1), 2)
((9, 4), (9, 5), 2)
((8, 2), (7, 1), 2)
((8, 4), (7, 5), 2)
((7, 3), (6, 3), 3)
((9, 1), (9, 0), 3)
((-1, -1), (9, 3), 0)
((9, 3), (8, 3), 1)
((9, 3), (9, 2), 1)
((9, 3), (9, 4), 1)
((9, 3), (8, 2), 1)
((9, 3), (8, 4), 1)
((8, 3), (7, 3), 2)
((9, 2), (9, 1), 2)
((9, 4), (9, 5), 2)
((8, 2), (7, 1), 2)
((8, 4), (7, 5), 2)
((7, 3), (6, 3), 3)
((9, 1), (9, 0), 3)
((-1, -1), (9, 3), 0)
((9, 3), (8, 3), 1)
((9, 3), (9, 2), 1)
((9, 3), (9, 4), 1)
((9, 3), (8, 2), 1)
((9, 3), (8, 4), 1)
((8, 3), (7, 3), 2)
((9, 2), (9, 1), 2)
((9, 4), (9, 5), 2)
((8, 2), (7, 1), 2)
((8, 4), (7, 5), 2)
((7, 3), (6, 3), 3)
((9, 1), (9, 0), 3)
((-1, -1), (1, 6), 0)
((1, 6), (0, 6), 1)
((-1, -1), (1, 6), 0)
((1, 6), (0, 6), 1)
((-1, -1), (1, 6), 0)
((1, 6), (0, 6), 1)
((-1, -1), (1, 6), 0)
((1, 6), (0, 6), 1)
((-1, -1), (1, 6), 0)
((1, 6), (0, 6), 1)
((-1, -1), (5, 6), 0)
((5, 6), (4, 6), 1)
((5, 6), (6, 6), 1)
((5, 6), (5, 5), 1)
((-1, -1), (5, 6), 0)
((5, 6), (4, 6), 1)
((5, 6), (6, 6), 1)
((5, 6), (5, 5), 1)
((-1, -1), (5, 6), 0)
((5, 6), (4, 6), 1)
((5, 6), (6, 6), 1)
((5, 6), (5, 5), 1)
((-1, -1), (5, 6), 0)
((5, 6), (4, 6), 1)
((5, 6), (6, 6), 1)
((5, 6), (5, 5), 1)
((-1, -1), (5, 6), 0)
((5, 6), (4, 6), 1)
((5, 6), (6, 6), 1)
((5, 6), (5, 5), 1)
((-1, -1), (2, 1), 0)
((2, 1), (1, 1), 1)
((2, 1), (3, 1), 1)
((2, 1), (2, 0), 1)
((-1, -1), (2, 1), 0)
((2, 1), (1, 1), 1)
((2, 1), (3, 1), 1)
((2, 1), (2, 0), 1)
((-1, -1), (2, 1), 0)
((2, 1), (1, 1), 1)
((2, 1), (3, 1), 1)
((2, 1), (2, 0), 1)
((-1, -1), (2, 1), 0)
((2, 1), (1, 1), 1)
((2, 1), (3, 1), 1)
((2, 1), (2, 0), 1)
((-1, -1), (2, 1), 0)
((2, 1), (1, 1), 1)
((2, 1), (3, 1), 1)
((2, 1), (2, 0), 1)
((-1, -1), (4, 9), 0)
((4, 9), (3, 9), 1)
((4, 9), (5, 9), 1)
((4, 9), (4, 8), 1)
((4, 9), (3, 8), 1)
((4, 9), (5, 8), 1)
((3, 9), (2, 9), 2)
((5, 9), (6, 9), 2)
((4, 8), (4, 7), 2)
((3, 8), (2, 7), 2)
((5, 8), (6, 7), 2)
((2, 9), (1, 9), 3)
((6, 9), (7, 9), 3)
((4, 7), (4, 6), 3)
((2, 7), (1, 6), 3)
((6, 7), (7, 6), 3)
((1, 9), (0, 9), 4)
((-1, -1), (4, 9), 0)
((4, 9), (3, 9), 1)
((4, 9), (5, 9), 1)
((4, 9), (4, 8), 1)
((4, 9), (3, 8), 1)
((4, 9), (5, 8), 1)
((3, 9), (2, 9), 2)
((5, 9), (6, 9), 2)
((4, 8), (4, 7), 2)
((3, 8), (2, 7), 2)
((5, 8), (6, 7), 2)
((2, 9), (1, 9), 3)
((6, 9), (7, 9), 3)
((4, 7), (4, 6), 3)
((2, 7), (1, 6), 3)
((6, 7), (7, 6), 3)
((1, 9), (0, 9), 4)
((-1, -1), (4, 9), 0)
((4, 9), (3, 9), 1)
((4, 9), (5, 9), 1)
((4, 9), (4, 8), 1)
((4, 9), (3, 8), 1)
((4, 9), (5, 8), 1)
((3, 9), (2, 9), 2)
((5, 9), (6, 9), 2)
((4, 8), (4, 7), 2)
((3, 8), (2, 7), 2)
((5, 8), (6, 7), 2)
((2, 9), (1, 9), 3)
((6, 9), (7, 9), 3)
((4, 7), (4, 6), 3)
((2, 7), (1, 6), 3)
((6, 7), (7, 6), 3)
((1, 9), (0, 9), 4)
((-1, -1), (4, 9), 0)
((4, 9), (3, 9), 1)
((4, 9), (5, 9), 1)
((4, 9), (4, 8), 1)
((4, 9), (3, 8), 1)
((4, 9), (5, 8), 1)
((3, 9), (2, 9), 2)
((5, 9), (6, 9), 2)
((4, 8), (4, 7), 2)
((3, 8), (2, 7), 2)
((5, 8), (6, 7), 2)
((2, 9), (1, 9), 3)
((6, 9), (7, 9), 3)
((4, 7), (4, 6), 3)
((2, 7), (1, 6), 3)
((6, 7), (7, 6), 3)
((1, 9), (0, 9), 4)
((-1, -1), (4, 9), 0)
((4, 9), (3, 9), 1)
((4, 9), (5, 9), 1)
((4, 9), (4, 8), 1)
((4, 9), (3, 8), 1)
((4, 9), (5, 8), 1)
((3, 9), (2, 9), 2)
((5, 9), (6, 9), 2)
((4, 8), (4, 7), 2)
((3, 8), (2, 7), 2)
((5, 8), (6, 7), 2)
((2, 9), (1, 9), 3)
((6, 9), (7, 9), 3)
((4, 7), (4, 6), 3)
((2, 7), (1, 6), 3)
((6, 7), (7, 6), 3)
((1, 9), (0, 9), 4)
((-1, -1), (2, 6), 0)
((2, 6), (1, 6), 1)
((2, 6), (3, 6), 1)
((2, 6), (2, 5), 1)
((2, 6), (2, 7), 1)
((2, 6), (1, 5), 1)
((2, 6), (3, 7), 1)
((2, 6), (1, 7), 1)
((2, 6), (3, 5), 1)
((1, 6), (0, 6), 2)
((-1, -1), (2, 6), 0)
((2, 6), (1, 6), 1)
((2, 6), (3, 6), 1)
((2, 6), (2, 5), 1)
((2, 6), (2, 7), 1)
((2, 6), (1, 5), 1)
((2, 6), (3, 7), 1)
((2, 6), (1, 7), 1)
((2, 6), (3, 5), 1)
((1, 6), (0, 6), 2)
((-1, -1), (2, 6), 0)
((2, 6), (1, 6), 1)
((2, 6), (3, 6), 1)
((2, 6), (2, 5), 1)
((2, 6), (2, 7), 1)
((2, 6), (1, 5), 1)
((2, 6), (3, 7), 1)
((2, 6), (1, 7), 1)
((2, 6), (3, 5), 1)
((1, 6), (0, 6), 2)
((-1, -1), (2, 6), 0)
((2, 6), (1, 6), 1)
((2, 6), (3, 6), 1)
((2, 6), (2, 5), 1)
((2, 6), (2, 7), 1)
((2, 6), (1, 5), 1)
((2, 6), (3, 7), 1)
((2, 6), (1, 7), 1)
((2, 6), (3, 5), 1)
((1, 6), (0, 6), 2)
((-1, -1), (2, 6), 0)
((2, 6), (1, 6), 1)
((2, 6), (3, 6), 1)
((2, 6), (2, 5), 1)
((2, 6), (2, 7), 1)
((2, 6), (1, 5), 1)
((2, 6), (3, 7), 1)
((2, 6), (1, 7), 1)
((2, 6), (3, 5), 1)
((1, 6), (0, 6), 2)
((-1, -1), (9, 8), 0)
((9, 8), (8, 8), 1)
((9, 8), (9, 7), 1)
((9, 8), (9, 9), 1)
((-1, -1), (9, 8), 0)
((9, 8), (8, 8), 1)
((9, 8), (9, 7), 1)
((9, 8), (9, 9), 1)
((-1, -1), (9, 8), 0)
((9, 8), (8, 8), 1)
((9, 8), (9, 7), 1)
((9, 8), (9, 9), 1)
((-1, -1), (9, 8), 0)
((9, 8), (8, 8), 1)
((9, 8), (9, 7), 1)
((9, 8), (9, 9), 1)
((-1, -1), (9, 8), 0)
((9, 8), (8, 8), 1)
((9, 8), (9, 7), 1)
((9, 8), (9, 9), 1)
((-1, -1), (1, 1), 0)
((1, 1), (0, 1), 1)
((-1, -1), (1, 1), 0)
((1, 1), (0, 1), 1)
((-1, -1), (1, 1), 0)
((1, 1), (0, 1), 1)
((-1, -1), (1, 1), 0)
((1, 1), (0, 1), 1)
((-1, -1), (1, 1), 0)
((1, 1), (0, 1), 1)
((-1, -1), (3, 3), 0)
((3, 3), (2, 3), 1)
((3, 3), (4, 3), 1)
((3, 3), (3, 2), 1)
((3, 3), (3, 4), 1)
((3, 3), (2, 2), 1)
((3, 3), (4, 4), 1)
((-1, -1), (3, 3), 0)
((3, 3), (2, 3), 1)
((3, 3), (4, 3), 1)
((3, 3), (3, 2), 1)
((3, 3), (3, 4), 1)
((3, 3), (2, 2), 1)
((3, 3), (4, 4), 1)
((-1, -1), (3, 3), 0)
((3, 3), (2, 3), 1)
((3, 3), (4, 3), 1)
((3, 3), (3, 2), 1)
((3, 3), (3, 4), 1)
((3, 3), (2, 2), 1)
((3, 3), (4, 4), 1)
((-1, -1), (3, 3), 0)
((3, 3), (2, 3), 1)
((3, 3), (4, 3), 1)
((3, 3), (3, 2), 1)
((3, 3), (3, 4), 1)
((3, 3), (2, 2), 1)
((3, 3), (4, 4), 1)
((-1, -1), (3, 3), 0)
((3, 3), (2, 3), 1)
((3, 3), (4, 3), 1)
((3, 3), (3, 2), 1)
((3, 3), (3, 4), 1)
((3, 3), (2, 2), 1)
((3, 3), (4, 4), 1)
((-1, -1), (2, 4), 0)
((2, 4), (1, 4), 1)
((2, 4), (3, 4), 1)
((2, 4), (2, 3), 1)
((2, 4), (2, 5), 1)
((2, 4), (1, 3), 1)
((2, 4), (3, 5), 1)
((2, 4), (1, 5), 1)
((2, 4), (3, 3), 1)
((1, 4), (0, 4), 2)
((-1, -1), (2, 4), 0)
((2, 4), (1, 4), 1)
((2, 4), (3, 4), 1)
((2, 4), (2, 3), 1)
((2, 4), (2, 5), 1)
((2, 4), (1, 3), 1)
((2, 4), (3, 5), 1)
((2, 4), (1, 5), 1)
((2, 4), (3, 3), 1)
((1, 4), (0, 4), 2)
((-1, -1), (2, 4), 0)
((2, 4), (1, 4), 1)
((2, 4), (3, 4), 1)
((2, 4), (2, 3), 1)
((2, 4), (2, 5), 1)
((2, 4), (1, 3), 1)
((2, 4), (3, 5), 1)
((2, 4), (1, 5), 1)
((2, 4), (3, 3), 1)
((1, 4), (0, 4), 2)
((-1, -1), (2, 4), 0)
((2, 4), (1, 4), 1)
((2, 4), (3, 4), 1)
((2, 4), (2, 3), 1)
((2, 4), (2, 5), 1)
((2, 4), (1, 3), 1)
((2, 4), (3, 5), 1)
((2, 4), (1, 5), 1)
((2, 4), (3, 3), 1)
((1, 4), (0, 4), 2)
((-1, -1), (2, 4), 0)
((2, 4), (1, 4), 1)
((2, 4), (3, 4), 1)
((2, 4), (2, 3), 1)
((2, 4), (2, 5), 1)
((2, 4), (1, 3), 1)
((2, 4), (3, 5), 1)
((2, 4), (1, 5), 1)
((2, 4), (3, 3), 1)
((1, 4), (0, 4), 2)
((-1, -1), (7, 9), 0)
((7, 9), (6, 9), 1)
((7, 9), (8, 9), 1)
((7, 9), (7, 8), 1)
((7, 9), (6, 8), 1)
((7, 9), (8, 8), 1)
((6, 9), (5, 9), 2)
((8, 9), (9, 9), 2)
((-1, -1), (7, 9), 0)
((7, 9), (6, 9), 1)
((7, 9), (8, 9), 1)
((7, 9), (7, 8), 1)
((7, 9), (6, 8), 1)
((7, 9), (8, 8), 1)
((6, 9), (5, 9), 2)
((8, 9), (9, 9), 2)
((-1, -1), (7, 9), 0)
((7, 9), (6, 9), 1)
((7, 9), (8, 9), 1)
((7, 9), (7, 8), 1)
((7, 9), (6, 8), 1)
((7, 9), (8, 8), 1)
((6, 9), (5, 9), 2)
((8, 9), (9, 9), 2)
((-1, -1), (7, 9), 0)
((7, 9), (6, 9), 1)
((7, 9), (8, 9), 1)
((7, 9), (7, 8), 1)
((7, 9), (6, 8), 1)
((7, 9), (8, 8), 1)
((6, 9), (5, 9), 2)
((8, 9), (9, 9), 2)
((-1, -1), (7, 9), 0)
((7, 9), (6, 9), 1)
((7, 9), (8, 9), 1)
((7, 9), (7, 8), 1)
((7, 9), (6, 8), 1)
((7, 9), (8, 8), 1)
((6, 9), (5, 9), 2)
((8, 9), (9, 9), 2)
agent id 3

Agent 3 has chosen the following move:
Agent #3 played 'js' to remove a marker from space (6, 6).


The new agent state is:
Agent #3, playing for team B, is holding cards ['kh', 'as', '6d', '5c', '4d', '3s'].

--------------------------------------------------------------------
in get feature
in draft feature
plr_state is: <Sequence.sequence_model.SequenceState.AgentState object at 0x7ff0c7b98f70>
position is  [(5, 4), (8, 7)]
try to call checkSeq
calling checkSeq success and info is: (0, 5)
try to call checkSeq
calling checkSeq success and info is: (0, 5)
in play feature
opp_plr: <Sequence.sequence_model.SequenceState.AgentState object at 0x7ff0c7b98f10>
